,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,62,1,1,9/8/2022,BUF,@,LAR,"W, 31-10",*,26,31,15,45.5,227,7.3,183,7,5.9,114,4.4,0,0,0,1,3.2,3,9.7,7,0,0,2,5.3,5,8,10,56,4,36,3.6,20,2,0,
2,63,2,2,9/19/2022,BUF,,TEN,"W, 41-7",*,26,38,13,33.3,279,7.3,220,8.5,5.8,97,3.7,3,1,0,1,2.7,6,16.2,13,2,2,5,12.5,1,10,1,10,1,3,3,7,7,0,
3,64,3,3,9/25/2022,BUF,@,MIA,"L, 19-21",*,42,63,21,31.3,387,6.1,199,4.7,3.2,201,4.8,1,4,1,2,3.4,5,8.6,10,5,4,13,17.8,6,8,8,47,5,37,4.6,10,1.3,0,
4,65,4,4,10/2/2022,BUF,@,BAL,"W, 23-20",*,19,36,14,37.8,259,7.2,111,5.8,3.1,102,5.4,3,2,0,5,14.7,4,11.8,11,3,4,8,18.6,6,8.7,11,70,5,25,2.3,45,4.1,0,
5,66,5,5,10/9/2022,BUF,,PIT,"W, 38-3",*,20,31,15,48.4,420,13.5,222,11.1,7.2,202,10.1,2,0,0,1,3.2,4,12.9,10,0,1,1,2.9,3,14,5,42,2,36,7.2,6,1.2,0,
6,67,6,6,10/16/2022,BUF,@,KAN,"W, 24-20",*,27,40,18,43.9,295,7.4,209,7.7,5.2,120,4.4,3,0,0,0,0,10,25,15,1,3,5,11.4,3,6,12,32,4,23,1.9,9,0.8,0,
7,68,7,8,10/30/2022,BUF,,GNB,"W, 27-17",*,13,25,8,29.6,321,12.8,131,10.1,5.2,87,6.7,0,0,0,1,4,5,20,11,1,2,5,16.7,3,13.3,6,49,3,44,7.3,5,0.8,1,6
8,69,8,9,11/6/2022,BUF,@,NYJ,"L, 17-20",*,18,34,10,25.6,410,12.1,116,6.4,3.4,89,4.9,0,1,0,3,9.1,6,18.2,4,0,2,7,16.7,3,9.7,9,86,7,81,9,5,0.6,0,
9,70,9,10,11/13/2022,BUF,,MIN,"L, 30-33 (OT)",*,29,43,17,37.8,362,8.4,221,7.6,5.1,109,3.8,2,2,0,1,2.4,6,14.6,13,5,2,9,18,5,16.8,6,84,4,62,10.3,22,3.7,0,
10,71,10,11,11/20/2022,BUF,,CLE,"W, 31-23",*,18,27,9,31,210,7.8,146,8.1,5.4,51,2.8,0,2,0,1,4,6,24,6,4,2,8,26.7,1,6,3,7,1,6,2,1,0.3,0,
11,72,11,12,11/24/2022,BUF,@,DET,"W, 28-25",*,24,42,16,35.6,426,10.1,198,8.3,4.7,55,2.3,0,3,0,6,15.4,7,17.9,17,6,5,14,26.9,7,8.1,10,78,5,70,7,8,0.8,1,10
12,73,12,13,12/1/2022,BUF,@,NWE,"W, 24-10",*,22,33,15,42.9,267,8.1,118,5.4,3.6,105,4.8,0,0,0,5,15.2,3,9.1,6,1,4,7,18.9,2,7,8,20,1,13,1.6,7,0.9,0,
13,74,13,14,12/11/2022,BUF,,NYJ,"W, 20-12",*,16,27,6,20,224,8.3,74,4.6,2.7,73,4.6,0,0,0,4,14.8,5,18.5,5,0,1,4,12.1,3,10.7,10,47,3,44,4.4,3,0.3,0,
14,75,14,15,12/17/2022,BUF,,MIA,"W, 32-29",*,25,40,16,38.1,404,10.1,213,8.5,5.3,91,3.6,0,2,0,3,7.9,8,21.1,8,8,4,14,31.8,2,5,10,77,3,55,5.5,22,2.2,3,3.3
15,76,15,16,12/24/2022,BUF,@,CHI,"W, 35-13",*,15,26,9,33.3,298,11.5,124,8.3,4.8,48,3.2,0,1,0,0,0,7,28,4,3,3,7,22.6,4,10,6,41,4,41,6.8,0,0,0,
16,77,16,18,1/8/2023,BUF,,NWE,"W, 35-23",*,19,31,10,30.3,416,13.4,206,10.8,6.6,48,2.5,0,0,0,3,9.7,6,19.4,4,2,1,5,13.9,3,5,9,16,3,16,1.8,0,0,0,
,,,,,,,,13-3,,359,567,212,35.3,5205,9.2,2691,7.5,4.7,1592,4.4,14,18,1,37,6.8,91,16.6,144,41,40,114,17.4,57,9.4,124,762,55,592,4.8,170,1.4,5,24.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
