,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,1,1,9/9/2018,BUF,@,BAL,"L, 3-47",,6,15,5,27.8,220,14.7,66,11,4.4,8,1.3,0,1,0,1,7.1,3,21.4,7,6,1,10,50,2,7,4,26,2,18,4.5,8,2,0,
2,2,2,2,9/16/2018,BUF,,LAC,"L, 20-31",*,18,33,10,26.3,341,10.3,128,7.1,3.9,117,6.5,0,0,0,4,12.1,6,18.2,13,8,2,15,36.6,3,7.7,8,32,3,14,1.8,18,2.3,0,
3,3,3,3,9/23/2018,BUF,@,MIN,"W, 27-6",*,15,22,6,24,190,8.6,58,3.9,2.6,138,9.2,0,0,0,3,13.6,1,4.5,8,3,2,8,27.6,4,7.5,10,39,5,26,2.6,13,1.3,0,
4,4,4,4,9/30/2018,BUF,@,GNB,"L, 0-22",*,16,33,6,15,307,9.3,82,5.1,2.5,69,4.3,0,0,0,0,0,12,36.4,15,6,3,16,37.2,3,4.3,5,19,0,8,1.6,11,2.2,0,
5,5,5,5,10/7/2018,BUF,,TEN,"W, 13-12",*,10,19,6,30,161,8.5,30,3,1.6,52,5.2,0,1,0,0,0,6,33.3,9,0,0,1,4.5,2,10.5,4,19,1,16,4,3,0.8,0,
6,6,6,6,10/14/2018,BUF,@,HOU,"L, 13-20",*,10,17,4,21.1,128,7.5,42,4.2,2.5,42,4.2,0,0,0,0,0,3,17.6,6,3,2,7,30.4,4,5,4,20,1,9,2.3,11,2.8,0,
7,7,11,12,11/25/2018,BUF,,JAX,"W, 24-21",*,8,19,5,26.3,336,17.7,82,10.3,4.3,78,9.8,0,2,0,1,5.9,5,29.4,5,5,6,11,42.3,7,11,13,99,4,60,4.6,39,3,0,
8,8,12,13,12/2/2018,BUF,@,MIA,"L, 17-21",*,18,33,10,28.6,518,15.7,152,8.4,4.6,79,4.4,0,4,0,2,6.9,5,17.2,10,7,5,14,33.3,7,18,9,135,7,80,8.9,55,6.1,0,
9,9,13,14,12/9/2018,BUF,,NYJ,"L, 23-27",*,18,36,9,23.1,301,8.4,129,7.2,3.6,77,4.3,0,2,0,3,8.8,13,38.2,14,7,6,16,35.6,6,12.8,9,101,6,27,3,74,8.2,1,9
10,10,14,15,12/16/2018,BUF,,DET,"W, 14-13",*,13,26,9,33.3,413,15.9,148,11.4,5.7,56,4.3,0,3,0,0,0,6,26.1,9,6,1,8,28.6,1,3,9,16,4,13,1.4,3,0.3,0,
11,11,15,16,12/23/2018,BUF,@,NWE,"L, 12-24",*,20,41,10,24.4,460,11.2,127,6.4,3.1,90,4.5,0,2,0,4,10.3,12,30.8,15,2,0,2,4.7,2,5.5,5,30,2,14,2.8,16,3.2,1,5
12,12,16,17,12/30/2018,BUF,,MIA,"W, 42-17",*,17,26,9,33.3,133,5.1,86,5.1,3.3,138,8.1,0,2,0,0,0,6,25,15,1,5,7,21.9,5,18.6,9,95,6,66,7.3,29,3.2,0,
,,,,,,,,7-May,,169,320,89,25.6,3508,11,1130,6.7,3.5,944,5.6,0,17,0,18,5.9,78,25.7,126,54,33,115,29.2,46,11,89,631,41,351,3.9,280,3.1,2,44.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
