,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,110,1,1,9/9/2018,CAR,,DAL,"W, 16-8",*,17,26,9,31,155,6,72,4.2,2.8,89,5.2,0,0,1,0,0,4,16,5,5,1,9,30,1,1,13,58,4,-1,-0.1,59,4.5,0,
2,111,2,2,9/16/2018,CAR,@,ATL,"L, 24-31",*,32,45,20,42.6,324,7.2,152,4.8,3.4,183,5.7,0,1,0,5,11.4,3,6.8,6,3,2,7,14,3,9.3,5,42,3,17,3.4,25,5,1,5
3,112,3,3,9/23/2018,CAR,,CIN,"W, 31-21",*,15,24,10,40,218,9.1,87,5.8,3.6,63,4.2,0,1,0,2,8.7,4,17.4,5,1,1,3,11.1,2,7,10,36,4,30,3,6,0.6,0,
4,113,4,5,10/7/2018,CAR,,NYG,"W, 33-31",*,21,35,12,33.3,313,8.9,101,4.8,2.9,136,6.5,0,1,1,2,6.1,6,18.2,12,2,1,4,10.5,2,5,8,29,2,13,1.6,16,2,0,
5,114,5,6,10/14/2018,CAR,@,WAS,"L, 17-23",*,27,40,15,36.6,306,7.7,154,5.7,3.9,121,4.5,0,3,0,1,2.7,8,21.6,11,4,1,6,14,2,10.5,9,43,6,30,3.3,13,1.4,1,9
6,115,6,7,10/21/2018,CAR,@,PHI,"W, 21-17",*,25,39,13,31.7,282,7.2,131,5.2,3.4,138,5.5,0,2,0,2,5.4,5,13.5,5,4,4,10,22.7,3,11.3,7,49,2,22,3.1,27,3.9,2,3.5
7,116,7,8,10/28/2018,CAR,,BAL,"W, 36-21",*,21,29,13,44.8,190,6.6,148,7,5.1,71,3.4,0,3,0,1,3.8,3,11.5,10,2,3,5,14.7,5,5.6,10,52,1,38,3.8,14,1.4,1,10
8,117,8,9,11/4/2018,CAR,,TAM,"W, 42-28",*,19,25,11,40.7,183,7.3,120,6.3,4.8,127,6.7,0,1,0,1,4.2,3,12.5,7,0,2,4,14.3,1,2,11,33,2,28,2.5,5,0.5,1,11
9,118,9,10,11/8/2018,CAR,@,PIT,"L, 21-52",*,23,29,12,35.3,152,5.2,87,3.8,3,106,4.6,0,1,0,1,3.6,3,10.7,20,5,0,10,29.4,0,,2,10,1,7,3.5,3,1.5,0,
10,119,10,11,11/18/2018,CAR,@,DET,"L, 19-20",*,25,37,16,40,339,9.2,174,7,4.7,183,7.3,0,1,0,4,11.1,4,11.1,6,1,1,5,12.2,1,2,2,2,0,2,1,0,0,0,
11,120,11,12,11/25/2018,CAR,,SEA,"L, 27-30",*,25,30,13,43.3,145,4.8,94,3.8,3.1,162,6.5,0,1,0,1,3.4,1,3.4,7,1,0,1,3.2,1,26,8,63,4,47,5.9,16,2,0,
12,121,12,13,12/2/2018,CAR,@,TAM,"L, 17-24",*,28,41,17,37.8,370,9,155,5.5,3.8,145,5.2,0,1,0,0,0,4,10,12,5,4,13,27.7,2,8,6,33,2,27,4.5,6,1,0,
13,122,13,14,12/9/2018,CAR,@,CLE,"L, 20-26",*,26,42,13,30.2,252,6,116,4.5,2.8,149,5.7,0,0,0,1,2.4,10,23.8,17,8,2,11,24.4,2,3.5,5,23,2,12,2.4,11,2.2,0,
14,123,14,15,12/17/2018,CAR,,NOR,"L, 9-12",*,16,29,6,18.2,155,5.3,65,4.1,2.2,66,4.1,0,0,1,3,10.7,4,14.3,12,8,0,12,34.3,2,5,5,15,3,-2,-0.4,17,3.4,1,5
,,,,,,,,8-Jun,,320,471,180,36,3384,7.2,1656,5.2,3.5,1739,5.4,0,16,3,24,5.3,62,13.7,135,49,22,100,19,27,7.4,101,488,36,270,2.7,218,2.2,7,14.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
