,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
2,90,6,6,10/13/2019,TEN,@,DEN,"L, 0-16",,13,16,6,30,150,9.4,110,8.5,6.9,34,2.6,0,0,0,0,0,1,6.3,6,3,1,8,38.1,1,6,1,6,0,6,6,0,0,0,
3,91,7,7,10/20/2019,TEN,,LAC,"W, 23-20",*,23,29,16,51.6,209,7.2,173,7.5,6,139,6,1,1,0,0,0,2,7.1,7,4,3,9,28.1,1,6,5,7,1,5,1,2,0.4,0,
4,92,8,8,10/27/2019,TEN,,TAM,"W, 27-23",*,21,33,11,30.6,337,10.2,117,5.6,3.5,76,3.6,0,0,0,0,0,4,12.1,19,1,3,7,19.4,0,,4,-3,0,-4,-1,1,0.3,0,
5,93,9,9,11/3/2019,TEN,@,CAR,"L, 20-30",*,27,39,17,39.5,304,7.8,155,5.7,4,176,6.5,0,0,2,2,5.4,6,16.2,8,3,3,10,21.7,3,12.3,4,38,2,35,8.8,3,0.8,1,4
6,94,10,10,11/10/2019,TEN,,KAN,"W, 35-32",*,13,19,7,30.4,251,13.2,130,10,6.8,51,3.9,1,0,0,0,0,3,15.8,6,2,3,9,36,2,15,3,37,2,24,8,13,4.3,0,
7,95,11,12,11/24/2019,TEN,,JAX,"W, 42-20",*,14,18,11,57.9,137,7.6,74,5.3,4.1,185,13.2,1,1,0,0,0,1,5.9,8,2,1,4,20,1,21,7,40,3,37,5.3,3,0.4,0,
8,96,12,13,12/1/2019,TEN,@,IND,"W, 31-17",*,17,22,7,25,167,7.6,108,6.4,4.9,74,4.4,0,1,0,2,9.5,1,4.8,8,4,0,10,34.5,1,8,4,5,1,5,1.3,0,0,0,
9,97,13,14,12/8/2019,TEN,@,OAK,"W, 42-21",*,21,27,15,55.6,294,10.9,195,9.3,7.2,196,9.3,1,0,0,0,0,3,11.1,7,0,3,3,10.3,2,8.5,4,19,2,16,4,3,0.8,0,
10,98,14,15,12/15/2019,TEN,,HOU,"L, 21-24",*,22,36,15,39.5,353,9.8,163,7.4,4.5,116,5.3,0,0,1,1,2.9,8,22.9,18,1,4,7,17.9,1,10,3,10,2,6,2,4,1.3,0,
11,99,15,16,12/22/2019,TEN,,NOR,"L, 28-38",*,17,27,11,34.4,241,8.9,140,8.2,5.2,132,7.8,2,2,0,4,16,1,4,10,4,1,10,30.3,1,8,1,8,0,8,8,0,0,0,
12,100,16,17,12/29/2019,TEN,@,HOU,"W, 35-14",*,13,20,10,50,272,13.6,129,9.9,6.5,69,5.3,0,0,0,0,0,5,25,7,1,2,3,13.6,2,11,5,20,1,20,4,0,0,0,
,,,,,,,,4-Aug,,201,286,126,39.7,2715,9.5,1494,7.4,5.2,1248,6.2,6,5,3,9,3.2,35,12.6,104,25,24,80,24.1,15,11,43,185,14,156,3.6,29,0.7,1,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
