,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,1,1,9/12/2021,JAX,@,HOU,"L, 21-37",*,28,51,13,25,412,8.1,191,6.8,3.7,141,5,0,1,0,5,10,13,26,6,3,3,7,13.5,0,,1,-2,0,-2,-2,0,0,0,
2,2,2,2,9/19/2021,JAX,,DEN,"L, 13-23",*,14,33,6,17.6,405,12.3,79,5.6,2.4,39,2.8,0,1,0,0,0,13,40.6,10,6,2,9,25,2,10.5,2,21,2,17,8.5,4,2,0,
3,3,3,3,9/26/2021,JAX,,ARI,"L, 19-31",*,22,34,10,27,286,8.4,135,6.1,4,84,3.8,0,0,1,1,3,8,24.2,9,4,4,11,28.2,2,7.5,6,27,0,16,2.7,11,1.8,0,
4,4,4,4,9/30/2021,JAX,@,CIN,"L, 21-24",*,17,24,8,32,216,9,131,7.7,5.5,73,4.3,0,3,0,0,0,2,9.5,4,4,0,5,17.9,3,6.7,8,36,4,24,3,12,1.5,1,8
5,5,5,5,10/10/2021,JAX,,TEN,"L, 19-37",*,23,33,12,34.3,258,7.8,138,6,4.2,135,5.9,0,0,0,0,0,3,9.1,9,3,3,8,21.1,3,4.3,7,28,1,27,3.9,1,0.1,0,
6,6,6,6,10/17/2021,JAX,,MIA,"W, 23-20",*,25,41,16,37.2,306,7.5,188,7.5,4.6,131,5.2,2,0,0,2,4.9,10,24.4,15,1,5,8,18.2,1,12,2,11,1,11,5.5,0,0,1,2
7,7,7,8,10/31/2021,JAX,@,SEA,"L, 7-31",*,32,54,17,30.9,274,5.1,84,2.6,1.6,154,4.8,4,2,0,2,3.8,10,19.2,19,8,6,15,26.3,2,6,3,11,0,3,1,8,2.7,0,
8,8,8,9,11/7/2021,JAX,,BUF,"W, 9-6",*,15,26,4,14.3,182,7,56,3.7,2.2,62,4.1,0,1,0,1,4,6,24,8,6,2,10,35.7,0,,3,4,1,3,1,1,0.3,0,
9,9,9,10,11/14/2021,JAX,@,IND,"L, 17-23",*,16,35,7,18.4,335,9.6,89,5.6,2.5,73,4.6,0,0,0,3,8.6,13,37.1,9,1,8,12,28.6,4,8,5,33,0,32,6.4,1,0.2,0,
10,10,10,11,11/21/2021,JAX,,SFO,"L, 10-30",*,16,25,8,28.6,179,7.2,66,4.1,2.6,92,5.8,0,1,0,2,8.3,4,16.7,5,3,3,9,30,2,8.5,3,23,2,20,6.7,3,1,0,
11,11,11,12,11/28/2021,JAX,,ATL,"L, 14-21",*,23,42,13,30.2,427,10.2,121,5.3,2.9,107,4.7,0,2,0,2,5,12,30,12,5,5,11,25,1,10,5,39,2,36,7.2,3,0.6,0,
12,12,12,13,12/5/2021,JAX,@,LAR,"L, 7-37",*,16,28,7,23.3,117,4.2,43,2.7,1.5,102,6.4,0,0,0,2,7.1,6,21.4,4,6,2,10,30.3,3,4,4,10,1,6,1.5,4,1,0,
13,13,13,14,12/12/2021,JAX,@,TEN,"L, 0-20",*,24,40,9,20.9,336,8.4,119,5,3,102,4.3,1,3,0,1,2.7,4,10.8,10,9,3,15,34.1,1,2,1,2,0,0,0,2,2,0,
14,14,14,15,12/19/2021,JAX,,HOU,"L, 16-30",*,22,38,12,29.3,262,6.9,112,5.1,2.9,98,4.5,1,1,1,5,13.9,6,16.7,5,2,1,6,14.3,1,10,5,21,2,18,3.6,3,0.6,0,
15,15,15,16,12/26/2021,JAX,@,NYJ,"L, 21-26",*,26,39,16,40,371,9.5,209,8,5.4,71,2.7,0,3,1,2,5.7,3,8.6,8,3,3,7,16.3,3,11.7,6,37,2,35,5.8,2,0.3,0,
16,16,16,17,1/2/2022,JAX,@,NWE,"L, 10-50",*,17,27,8,27.6,194,7.2,113,6.6,4.2,80,4.7,0,0,0,0,0,4,14.8,4,1,1,4,12.9,2,8,2,16,1,16,8,0,0,0,
17,17,17,18,1/9/2022,JAX,,IND,"W, 26-11",*,23,32,11,33.3,185,5.8,130,5.7,4.1,93,4,0,0,0,5,15.6,3,9.4,10,2,1,4,11.1,3,4.7,10,17,3,5,0.5,12,1.2,0,
,,,,,,,,14-Mar,,359,602,177,27.9,4745,7.9,2004,5.6,3.3,1637,4.6,8,18,3,33,5.7,120,20.7,147,67,52,151,22.6,33,7.3,73,334,22,267,3.7,67,0.9,2,36.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
