,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,86,1,1,9/11/2022,WAS,,JAX,"W, 28-22",*,27,41,16,38.1,290,7.1,135,5,3.3,178,6.6,2,0,0,1,2.4,8,19.5,15,0,3,4,8.9,3,4.7,6,12,0,11,1.8,1,0.2,0,
2,87,2,2,9/18/2022,WAS,@,DET,"L, 27-36",*,30,46,15,29.4,415,9,199,6.6,4.3,138,4.6,1,2,0,2,4.5,10,22.7,19,7,2,14,26.4,2,11.5,2,23,2,21,10.5,2,1,0,
3,88,3,3,9/25/2022,WAS,,PHI,"L, 8-24",*,25,43,11,21.2,339,7.9,150,6,3.5,61,2.4,2,1,0,3,7.1,10,23.8,13,6,7,22,40,3,7.3,3,22,0,13,4.3,9,3,1,3
4,89,4,4,10/2/2022,WAS,@,DAL,"L, 10-25",*,25,42,10,22.7,297,7.1,57,2.3,1.4,113,4.5,0,2,0,1,2.5,11,27.5,13,2,9,13,28.9,1,5,1,5,0,0,0,5,5,0,
5,90,5,5,10/9/2022,WAS,,TEN,"L, 17-21",*,25,38,11,26.8,351,9.2,211,8.4,5.6,148,5.9,2,1,0,2,5.4,4,10.8,5,0,3,6,14,2,6.5,5,15,1,15,3,0,0,0,
6,91,6,6,10/13/2022,WAS,@,CHI,"W, 12-7",*,12,22,5,20,137,6.2,27,2.3,1.2,72,6,1,0,0,2,9.1,5,22.7,5,0,0,3,12,0,,2,2,0,2,1,0,0,0,
7,92,15,16,12/24/2022,WAS,@,SFO,"L, 20-37",,12,16,8,50,86,5.4,57,4.8,3.6,66,5.5,0,0,0,1,6.3,1,6.3,7,0,3,3,18.8,0,,0,0,0,0,,0,,0,
8,93,16,17,1/1/2023,WAS,,CLE,"L, 10-24",*,16,28,9,29,240,8.6,93,5.8,3.3,50,3.1,0,0,0,4,14.3,5,17.9,7,0,2,5,15.6,1,4,3,7,1,3,1,4,1.3,0,
,,,,,,,,6-Feb,,172,276,85,28.1,2155,7.8,929,5.4,3.4,826,4.8,8,6,0,16,5.9,54,20,84,15,29,70,22.3,12,6.8,22,86,4,65,3,21,1,1,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
