,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,53,1,1,9/8/2024,CIN,,NWE,"L, 10-16",*,21,29,7,21.9,162,5.6,97,4.6,3.3,67,3.2,1,0,0,1,3.4,4,13.8,7,0,0,3,8.6,3,4.3,4,15,1,13,3.3,2,0.5,0
2,54,2,2,9/15/2024,CIN,@,KAN,"L, 25-26",*,23,36,11,28.2,225,6.3,136,5.9,3.8,122,5.3,1,2,0,3,8.8,5,14.7,15,0,3,6,14.6,2,3.5,6,9,3,3,0.5,6,1,0
3,55,3,3,9/23/2024,CIN,,WAS,"L, 33-38",*,29,38,18,45,283,7.4,204,7,5.4,120,4.1,0,0,0,1,2.6,5,13.2,6,0,2,4,9.8,1,4,1,4,1,4,4,0,0,0
4,56,4,4,9/29/2024,CIN,@,CAR,"W, 34-24",*,22,31,14,45.2,172,5.5,87,4,2.8,145,6.6,1,1,0,0,0,5,16.7,9,2,2,4,12.5,1,10,1,10,1,10,10,0,0,0
5,57,5,5,10/6/2024,CIN,,BAL,"L, 38-41 (OT)",*,30,39,19,45.2,322,8.3,223,7.4,5.7,169,5.6,0,0,0,1,2.6,3,7.7,6,0,3,6,14,1,1,2,1,0,1,0.5,0,0,0
6,58,6,6,10/13/2024,CIN,@,NYG,"W, 17-7",*,19,28,10,31.3,156,5.6,107,5.6,3.8,101,5.3,1,5,0,1,4.3,1,4.3,3,2,3,9,26.5,2,28.5,4,55,2,55,13.8,0,0,0
7,59,7,7,10/20/2024,CIN,@,CLE,"W, 21-14",*,15,25,8,28.6,264,10.6,89,5.9,3.6,92,6.1,0,0,0,1,4,4,16,5,1,3,7,25,0,,3,-3,0,-3,-1,0,0,0
8,60,8,8,10/27/2024,CIN,,PHI,"L, 17-37",*,26,37,15,39.5,287,7.8,141,5.4,3.8,93,3.6,1,0,0,1,2.7,5,13.5,11,2,2,5,12.5,2,8,3,15,1,15,5,0,0,0
9,61,9,9,11/3/2024,CIN,,LVR,"W, 41-24",*,27,39,18,45,206,5.3,96,3.6,2.5,155,5.7,1,2,0,2,5.4,3,8.1,7,10,5,16,39,1,10,3,11,2,10,3.3,1,0.3,0
10,62,10,10,11/7/2024,CIN,@,BAL,"L, 34-35",*,34,56,21,35.6,488,8.7,237,7,4.2,191,5.6,1,1,0,5,9.1,9,16.4,5,1,10,14,23.3,1,6,2,6,0,4,2,2,1,0
11,63,11,11,11/17/2024,CIN,@,LAC,"L, 27-34",*,28,50,14,26.4,512,10.2,245,8.8,4.9,111,4,0,4,0,1,2.2,8,17.4,16,3,10,16,29.1,2,14,2,28,2,9,4.5,19,9.5,0
12,64,12,13,12/1/2024,CIN,,PIT,"L, 38-44",*,28,38,16,38.1,226,5.9,144,5.1,3.8,165,5.9,1,1,0,3,8.1,3,8.1,10,7,7,18,40.9,2,4.5,2,9,0,8,4,1,0.5,0
13,65,13,14,12/9/2024,CIN,@,DAL,"W, 27-20",*,33,44,18,39.1,280,6.4,162,4.9,3.7,207,6.3,0,1,0,2,4.7,3,7,18,3,6,11,23.9,0,,2,-2,0,-2,-1,0,0,0
14,66,14,15,12/15/2024,CIN,@,TEN,"W, 37-27",*,26,37,12,31.6,246,6.6,157,6,4.2,114,4.4,0,1,1,2,5.7,5,14.3,6,2,3,6,15.8,0,,0,0,0,0,,0,,0
15,67,15,16,12/22/2024,CIN,,CLE,"W, 24-6",*,23,30,14,41.2,245,8.2,167,7.3,5.6,85,3.7,0,2,0,0,0,3,10.7,11,2,4,10,27.8,2,9.5,2,19,1,19,9.5,0,0,0
16,68,16,17,12/28/2024,CIN,,DEN,"W, 30-24 (OT)",*,39,49,23,41.1,340,6.9,278,7.1,5.7,134,3.4,0,0,0,4,8.2,5,10.2,19,0,5,12,20.7,2,12.5,4,25,2,21,5.3,4,1,0
17,69,17,18,1/4/2025,CIN,@,PIT,"W, 19-17",*,37,46,15,30,189,4.1,156,4.2,3.4,121,3.3,2,0,0,2,4.3,2,4.3,10,3,1,8,16,0,,1,-1,0,-1,-1,0,0,0
,,,,,,,,8-Sep,,460,652,253,36.1,4603,7.1,2726,5.9,4.2,2192,4.8,10,20,1,30,4.8,73,11.6,164,38,69,155,21.5,22,9.3,42,201,16,166,4,35,0.8,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
