,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,1,1,9/12/2021,CHI,@,LAR,"L, 14-34",,2,2,0,0,6,3,6,3,3,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,3,1,1,1,2,2,0,
2,2,2,2,9/19/2021,CHI,,CIN,"W, 20-17",,6,13,3,20,140,10.8,45,7.5,3.5,15,2.5,0,0,0,1,7.7,4,30.8,8,1,1,4,21.1,4,7.3,10,31,2,16,1.6,15,1.5,2,5
3,3,3,3,9/26/2021,CHI,@,CLE,"L, 6-26",*,6,20,2,6.9,105,5.3,20,3.3,1,48,8,0,1,0,0,0,7,36.8,5,0,4,13,43.3,1,7,3,12,0,12,4,0,0,0,
4,4,4,4,10/3/2021,CHI,,DET,"W, 24-14",*,11,17,5,27.8,232,13.6,150,13.6,8.8,59,5.4,0,0,0,0,0,5,29.4,8,3,1,5,26.3,1,11,3,9,1,9,3,0,0,0,
5,5,5,5,10/10/2021,CHI,@,LVR,"W, 20-9",*,12,20,7,31.8,195,9.8,64,5.3,3.2,47,3.9,0,0,1,0,0,5,26.3,7,1,4,7,30.4,1,3,3,4,0,2,0.7,2,0.7,0,
6,6,6,6,10/17/2021,CHI,,GNB,"L, 14-24",*,16,27,10,32.3,327,12.1,124,7.8,4.6,50,3.1,0,2,0,2,8,7,28,5,3,0,7,19.4,5,8.6,6,43,3,19,3.2,24,4,0,
7,7,7,7,10/24/2021,CHI,@,TAM,"L, 3-38",*,22,32,11,30.6,206,6.4,74,3.4,2.3,110,5,1,1,0,5,16.1,3,9.7,16,3,2,9,20.9,7,5.4,8,38,1,26,3.3,12,1.5,0,
8,8,8,8,10/31/2021,CHI,,SFO,"L, 22-33",*,19,27,10,32.3,281,10.4,117,6.2,4.3,58,3.1,0,0,0,0,0,7,25.9,13,3,1,8,20.5,8,11.1,10,103,5,57,5.7,46,4.6,2,5
9,9,9,9,11/8/2021,CHI,@,PIT,"L, 27-29",*,17,29,11,34.4,442,15.2,244,14.4,8.4,47,2.8,1,0,0,1,3.4,7,24.1,10,1,5,9,24.3,5,5.8,8,45,2,43,5.4,2,0.3,0,
10,10,10,11,11/21/2021,CHI,,BAL,"L, 13-16",*,4,11,4,30.8,156,14.2,73,18.3,6.6,6,1.5,0,1,0,1,10,3,30,4,1,3,6,42.9,1,6,4,23,0,17,4.3,6,1.5,0,
11,11,13,14,12/12/2021,CHI,@,GNB,"L, 30-45",*,18,33,7,20,257,7.8,71,3.9,2.2,153,8.5,1,1,0,3,9.4,5,15.6,10,5,7,14,32.6,8,9.1,9,74,4,59,6.6,15,1.7,1,9
12,12,14,15,12/20/2021,CHI,,MIN,"L, 9-17",*,26,39,13,31,294,7.5,190,7.3,4.9,95,3.7,0,2,1,5,13.9,4,11.1,9,8,3,14,29.8,5,8.4,7,35,3,32,4.6,3,0.4,0,
,,,,,,,,9-Mar,,159,270,83,27.1,2641,9.8,1178,7.4,4.4,692,4.4,3,8,2,18,6.9,57,21.9,96,29,31,96,27.3,46,8,72,420,22,293,4.1,127,1.8,5,14.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
