,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,10,1,1,9/10/2023,SFO,@,PIT,"W, 30-7",*,19,29,13,40.6,242,8.3,166,8.7,5.7,54,2.8,2,1,0,2,7.1,3,10.7,9,13,3,19,55.9,2,10.5,3,20,1,14,4.7,6,2,0,
2,11,2,2,9/17/2023,SFO,@,LAR,"W, 30-23",*,17,25,11,42.3,226,9,113,6.6,4.5,93,5.5,0,1,0,1,4.2,6,25,4,2,2,5,19.2,0,,3,5,2,5,1.7,0,0,0,
3,12,3,3,9/21/2023,SFO,,NYG,"W, 30-12",*,25,37,13,33.3,182,4.9,108,4.3,2.9,202,8.1,1,3,0,1,2.9,4,11.8,27,0,3,5,12.8,0,,4,-1,1,-2,-0.5,1,0.3,0,
4,13,4,4,10/1/2023,SFO,,ARI,"W, 35-16",*,20,21,17,77.3,181,8.6,179,9,8.5,104,5.2,0,0,0,0,0,1,4.8,3,1,0,2,9.1,0,,2,0,1,0,0,0,0,0,
5,14,5,5,10/8/2023,SFO,,DAL,"W, 42-10",*,17,24,12,48,212,8.8,142,8.4,5.9,110,6.5,2,0,0,0,0,2,8.3,7,0,1,2,8,0,,0,0,0,0,,0,,0,
6,15,6,6,10/15/2023,SFO,@,CLE,"L, 17-19",*,12,27,5,16.7,250,9.3,54,4.5,2,71,5.9,0,1,1,0,0,11,44,9,0,3,6,19.4,1,5,3,7,1,7,2.3,0,0,0,
7,16,7,7,10/23/2023,SFO,@,MIN,"L, 17-22",*,21,30,12,38.7,241,8,145,6.9,4.8,127,6,1,0,1,0,0,6,20.7,13,5,2,8,24.2,2,9,5,19,2,-1,-0.2,20,4,1,5
8,17,8,8,10/29/2023,SFO,,CIN,"L, 17-31",*,22,31,15,45.5,270,8.7,194,8.8,6.3,171,7.8,1,1,0,2,6.7,5,16.7,3,0,5,7,17.9,6,9.5,6,57,2,57,9.5,0,0,0,
9,18,9,10,11/12/2023,SFO,@,JAX,"W, 34-3",*,19,26,11,39.3,184,7.1,174,9.2,6.7,122,6.4,2,1,0,0,0,3,12,6,1,5,8,28.6,0,,0,0,0,0,,0,,0,
10,19,10,11,11/19/2023,SFO,,TAM,"W, 27-14",*,21,25,14,48.3,201,8,153,7.3,6.1,180,8.6,0,0,0,0,0,4,16,13,0,2,6,20,1,3,4,14,2,14,3.5,0,0,0,
11,20,11,12,11/23/2023,SFO,@,SEA,"W, 31-13",*,21,30,10,32.3,268,8.9,109,5.2,3.6,100,4.8,0,0,0,0,0,6,20,10,4,4,9,28.1,1,3,3,1,0,1,0.3,0,0,0,
12,21,12,13,12/3/2023,SFO,@,PHI,"W, 42-19",*,19,27,12,41.4,177,6.6,102,5.4,3.8,212,11.2,1,2,0,0,0,5,20,12,1,1,4,13.3,1,6,2,9,1,3,1.5,6,3,1,2
13,22,13,14,12/10/2023,SFO,,SEA,"W, 28-16",*,19,27,12,40,252,9.3,193,10.2,7.1,175,9.2,1,0,0,1,3.7,3,11.1,7,0,4,7,22.6,1,8,2,7,0,4,2,3,1.5,0,
14,23,14,15,12/17/2023,SFO,@,ARI,"W, 45-29",*,16,25,11,44,330,13.2,152,9.5,6.1,90,5.6,0,0,1,0,0,4,16.7,5,0,1,1,4,0,,0,0,0,0,,0,,0,
15,24,15,16,12/25/2023,SFO,,BAL,"L, 19-33",*,18,32,10,29.4,206,6.4,120,6.7,3.8,135,7.5,2,1,0,2,6.5,5,16.1,8,1,5,8,23.5,0,,1,2,1,2,2,0,0,0,
16,25,16,17,12/31/2023,SFO,@,WAS,"W, 27-10",*,22,28,14,50,201,7.2,142,6.5,5.1,88,4,0,1,0,0,0,2,7.4,6,0,1,1,3.4,1,4,1,4,1,4,4,0,0,0,
,,,,,,,,4-Dec,,308,444,192,40.7,3623,8.2,2246,7.3,5.1,2034,6.6,13,12,3,9,2.1,70,16.3,142,28,42,98,20.1,16,7.8,39,144,15,108,2.8,36,0.9,2,19.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
